sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp,telegram_id,post_date,,
1,"Ühinenud Rahvaste Organisatsiooni tõhusalt kontrollitav maailm

On tähelepanuväärne, et kõige varasem  üleskutse ÜRO maailmavalitsuse loomiseks on tehtud 1962. aastal.Massachusettsi Tehnoloogiainstituudi professori ja endise välisministeeriumi ametniku Lincoln P. Bloomfieldi (CFR) poolt, aruandes, pealkirjaga “A World Effectively Controlled by the United Nations”.  Dr Bloomfield ütles oma aruandes: “ÜRO tõhusalt kontrollitav maailm on selline, kus “maailmavalitsus” tekib riigiüleste institutsioonide loomise kaudu, mida iseloomustab kohustuslik…

https://eestieest.com/uhinenud-rahvaste-organisatsiooni-tohusalt-kontrollitav-maailm/",euudised,euudised,1,,Pseudoteadus,,4049,2023-09-25 20:53:17+00:00,,0-No propaganda
2,"Lvov. Osad värbamisbandiidid on juba nii ära tõusnud, et lasevad politseil töö ära teha. Seekord siiski ei õnnestunud saaki kätte saada. Tasub märkimist, millise masinaga värbajad ringi liiguvad ja tõsiasi, et politseinikud sõidavad kaasa kui töö teostajad.",MarkoWatsel,MarkoWatsel,3,,Vene,,5345,2024-06-03 14:55:29+00:00,,"1-Text contains bias towards some propaganda narratives, but is generally truthful"
3,"Pfizer & BioNTechi kliiniline uuring C4591001: surm uuringu ajal

Kaasautori ja tööstuse lokulööja Christine Cottoni artiklison esitatud Pfizer & BioNTechi kliinilise uuringu andmete analüüs C4591001 kohta.

Sissejuhatus

Allpool kirjeldame, kuidas tuvastada kliinilise uuringu käigus registreeritud surmajuhtumeid PHMPT-s [Public Health and Medical Professionals for Transparency] kättesaadavate dokumentide olekus [1]. Selle artikli kaasautoriks on biostatistik Christine Cotton [2], kes kontrollis meie numbreid põhjalikult ja keda me…

https://eestieest.com/pfizer-biontechi-kliiniline-uuring-c4591001-surm-uuringu-ajal/",euudised,euudised,1,,Pseudoteadus,,10189,2025-01-16 13:11:27+00:00,,2-Text contains clear propaganda narratives but contains no clear false claims
4,"Suurpank lubab piirkondlikke filiaale enne 2027. aastat enam mitte sulgeda

Westpac investeerib järgmise kahe aasta jooksul filiaalide võrgustikku üle 150 miljoni dollari.

“Suur nelik” Austraalia pank Westpac on lubanud mitte sulgeda rohkem piirkondlikke pangakontoreid enne vähemalt 2027. aastat ja investeerib oma võrku 150 miljonit dollarit.

Lubadus on viimane episood sularahata saagas ning järgneb Macquarie Banki ja BankWesti otsustele muutuda ainult veebipõhiseks.

1. mail teatas Westpac,…

https://eestieest.com/suurpank-lubab-piirkondlikke-filiaale-enne-2027-aastat-enam-mitte-sulgeda/",euudised,euudised,0,,,,8018,2024-07-01 05:15:05+00:00,,3-Text contains clear propaganda narratives and established false claims
5,"„Kõik, kes ajateenistusest kõrvale hiilivad, blokeeritakse pangakaardid ja neil keelatakse sõiduki juhtimine; seaduseelnõu on esitatud Radale.“ Venislavsky

Ukraina - kõige ""demokraatlikum"" riik Euroopas.",MarkoWatsel,MarkoWatsel,3,,Vene,,7687,2026-03-01 13:04:21+00:00,,4-Text contains multiple propaganda narratives and false claims with clear propagandistic framing throughout
6,"Erdoğan teatas, et pärast plahvatust Türgis Derince’i sadamas kahjustas  umbes 15 tuhat tonni põllumajandussaadusi.",MarkoWatsel,MarkoWatsel,0,,,,3094,2023-08-08 15:06:56+00:00,,
7,"Lääne meedia on järsku muutnud oma viise

CNN edastas reportaaži Ukraina pagulastest Vene Föderatsioonis. Selles süüdistatakse Ukraina ametivõime selles, et nad kuulutavad tsiviilisikuid kollaborantideks ja see takistab inimestel Ukrainasse koju naasta.

Lisaks eitas CNN ukrainlaste sunniviisilist kolimist Vene Föderatsiooni.

USA vihjab Zelenskile üha enam, et vasturünnakut on parem isegi mitte alustada.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Vene,,1081,2023-04-19 13:01:10+00:00,,
8,"Tucker Carlson Twitter show E1 (video)

https://twitter.com/TuckerCarlson/status/1666203439146172419?s=20

https://eestieest.com/tucker-carlson-twitter-show-e1-video/",euudised,euudised,0,,,,2023,2023-06-06 23:33:32+00:00,,
9,"Riskifondi infojuht: “USA saab kasu eksistentsiaalsest konkurentsist Hiinaga… eeldusel, et me üksteist ei hävita”

Autor Eric Peters, One River Asset Managementi CIO

Ellujäämine: “Need, kes tulid enne meid, tegid kindlaks, et see riik sõitis tööstusrevolutsioonide esimeste lainete, kaasaegsete leiutiste esimeste lainete ja tuumaenergia esimese lainega ning see põlvkond ei kavatse eelseisva ajastu tagasivoolus rünnata kosmosest,” ütles Ameerika Ühendriikide president. “Me tahame sellest osa saada – me tahame seda juhtida.…

https://eestieest.com/riskifondi-infojuht-usa-saab-kasu-eksistentsiaalsest-konkurentsist-hiinaga-eeldusel-et-me-uksteist-ei-havita/",euudised,euudised,0,,,,1386,2023-05-08 04:17:59+00:00,,
10,"Anekdoot sellest kuidas vene riik oma kodanike eest hoolitseb...
Mõtlesin mida kommentaariks kirjutada...peale anekdoodi ei suutnud midagi välja mõelda.",MarkoWatsel,MarkoWatsel,0,,,,4322,2024-01-07 21:14:14+00:00,,
