sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp
1,"Inimesed kipuvad lõõgastumist seostama istumisega. Me küll teame, et istumine võib olla meile kahjulik ja enamik meist tunneb ilmselt end pärast pikka teleka ees istumist ka veidi süüdi, kuid tegelikult ei tea me arvatavasti täpselt, mis meie kehaga juhtub, kui end iga päev kaheksaks tunniks laua taha pargime. https://www.telegram.ee/toit-ja-tervis/istumisega-seotud-terviseriskid-ja-mida-teha-probleemide-valtimiseks",eestitelegram,eestitelegram,ei ole propa,,,
2,"KUUM! Weebiraadio “Lihtsalt&Keerutamata” 42. saade tulekul!- Toidujulgeolek

Saade vaadatav patreon.com/weebiraadio

https://eestieest.com/kuum-weebiraadio-lihtsaltkeerutamata-42-saade-tulekul-toidujulgeolek/",euudised,euudised,ei ole propa,,,
3,"Ukrainas moodustati relvastatud underground rühmitus.

 Ukraina rahvas astus välja praeguse valitsuse vastu, mis hävitab omaenda elanikkonda.  Relvastatud rühmitus on Zelenski režiimi ja kõigi valitsusametnike vastu.

 ""Meie käes on kättemaksurelv,"" ütlevad nad, hoides käes lääne relva.

 Nad isegi loobusid СУГС-ist,( слава украине, героем слава) lõpetades oma kõne fraasiga ""Au patriootidele!"".

 Nüüd on Ukraina jaoks ilmunud uus rinne – sisemine.  Ta on kõige jubedam, sest teda pole näha ja tal pole kaardil kindlat joont.  Ta on igal pool ja samal ajal mitte kusagil.",MarkoWatsel,MarkoWatsel,propa,,Vene,
4,"📌Inimesed varastavad rohkem toidupoodidest

Rimi Eesti juhi Jelena Litvinovitši sõnul on Rimi kauplustes suurenenud varguste osakaal, sealhulgas iseteeninduskassades toime pandud varguste osakaal.

“Loomulikult mängib selles rolli uudsus, mis on seotud kaasaegsete ostutööriistadega, nagu iseteeninduskassad, skannerid ja mobiilirakendused, mis võib tekitada ka kiusatust riskida, kuid tõenäoliselt mängib rolli ka praegune majandusolukord,” selgitas Litvinovitš.

Ta lisas, et Rimi ei kaalu klientide…

https://eestieest.com/📌inimesed-varastavad-rohkem-toidupoodidest/",euudised,euudised,ei ole propa,,,
5,"🤡 Lühike teejuht Lääne topeltstandardite kohta

Sõjalise mässu ajal kirjeldas lääne meedia wagnerlasi kui vabadusvõitlejaid, kuid kohe pärast mässu ebaõnnestumist läksid PMC võitlejad ohutult tagasi ""terroristide"" kategooriasse.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
6,"See uus pandeemialeping ohustab tõsiselt liikmesriikide suveräänsust ja põhilisi inimõigusi, mistõttu oleme meie, arstid, hooldajad, tervishoiutöötajad ja kodanikud, tugevalt vastu sellise ülemaailmse kokkuleppe rakendamisele. https://www.telegram.ee/maailm/video-sveitsi-meedikud-who-rahvusvaheline-pandeemialeping-ohustab-inimoigusi",eestitelegram,eestitelegram,propa,,Pseudoteadus,
7,"Elektrimasinad toovad õnne õuele, kuid?

Vaata, mis juhtub, kui usaldad elektrisõidukeid:

https://eestieest.com/elektrimasinad-toovad-onne-ouele-kuid/",euudised,euudised,propa,,Muu,
8,"Iisraeli rünnak Dohale šokeeris Katari, — Al Jazeera.

„See on suur elamurajoon ja nagu ülejäänud Katar väga turvaline,“ kirjutab väljaanne.

Kataris Hamasi juhtide vastases rünnakus osales umbes 15 lennukit, heideti alla üle 10 mürsu ja rünnati ühte sihtmärki, teatab Galei Tzahal Radio.",MarkoWatsel,MarkoWatsel,ei ole propa,,,
9,"Hetk, mil ZDF ikka veel ilmamanipulatsioonidest teatas, selle asemel et neid vandenõuteooriana kõrvale jätta

Oli aeg, mil riigitelevisioon ikka veel informeeris, selle asemel et indoktrineerida. Vanad ZDF-i saated kajastasid avalikult lennukitest pärinevat vääveldioksiidi kasutavat geoinsenerlust, näitasid sõjalennukite ilmaradaril seletamatuid ""kummituspilvi"" ja käsitlesid ilmamanipulatsioone reaalse ohuna.

Tänapäeval on see, mis kunagi oli tõsine rahvatervise probleem, meedias muutunud naeruväärseks ""vandenõuteooriaks"".

Tänapäeval nimetatakse neid, kes esitavad samu küsimusi, mida ZDF toona esitas, ""vandenõuteoreetikuteks"".",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
10,"⚠️**Ки️ Kiiev pidas läbirääkimisi Süürias Idlibi okupeerinud terroriorganisatsiooniga ""Hayat Tahrir Al-Sham"", et kaasata neid Venemaa vastastesse operatsioonidesse, kirjutab Türgi ajaleht Aydınlık.
**
Ajalehe andmetel on Kiievi eesmärk vabastada radikaalsed Tšetšeeni võitlejad, kes on rühmituse vanglas.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
